Region,Comuna,Poblacion,2020-03-30,2020-04-01,2020-04-03,2020-04-06,2020-04-08,Tasa
Biobio,Quilleco,10032,-,-,-,-,-,0.0
Biobio,San Pedro de la Paz,145906,18,50,56,63,71,48.7
Biobio,San Rosendo,3611,-,-,-,-,-,0.0
Biobio,Santa Barbara,14592,-,-,-,-,-,13.7
Biobio,Santa Juana,14779,-,-,-,-,-,0.0
Biobio,Talcahuano,158345,-,23,29,36,45,28.4
Biobio,Tirua,11019,-,-,-,4,4,36.3
Biobio,Tome,58729,4,6,9,25,30,51.1
Biobio,Tucapel,15205,,-,-,-,-,6.6
Biobio,Yumbel,22132,5,5,5,5,5,22.6
La Araucania,Angol,56058,7,13,12,15,23,41.0
La Araucania,Carahue,25486,-,-,-,-,6,23.5
La Araucania,Cholchol,12341,-,-,-,-,-,24.3
La Araucania,Collipulli,26148,-,-,-,-,-,0.0
La Araucania,Cunco,18055,-,-,-,5,5,27.7
La Araucania,Curacautin,18178,-,-,-,-,-,16.5
La Araucania,Curarrehue,7802,-,-,-,-,4,51.3
La Araucania,Ercilla,8458,-,-,-,-,-,23.6
La Araucania,Freire,25446,-,-,5,5,5,19.6
La Araucania,Galvarino,12633,-,-,-,-,-,15.8
La Araucania,Gorbea,15148,4,6,7,10,10,66.0
La Araucania,Lautaro,40746,-,8,10,16,19,46.6
La Araucania,Loncoche,24739,-,-,4,4,6,24.3
La Araucania,Lonquimay,11049,-,-,-,-,-,0.0
La Araucania,Los Sauces,7517,-,-,-,-,-,0.0
La Araucania,Lumaco,10050,-,-,-,-,-,0.0
La Araucania,Melipeuco,6265,-,-,-,-,-,0.0
La Araucania,Nueva Imperial,33777,-,-,11,16,20,59.2
La Araucania,Padre Las Casas,82110,9,14,33,44,49,59.7
La Araucania,Perquenco,7223,-,-,-,-,-,27.7
La Araucania,Pitrufquen,26096,4,6,7,11,12,46.0
La Araucania,Pucon,29782,-,-,-,4,5,16.8
La Araucania,Puren,12188,-,-,-,-,-,16.4
La Araucania,Renaico,10833,-,-,-,-,-,9.2
La Araucania,Saavedra,12793,-,-,-,-,-,7.8
La Araucania,Temuco,302931,154,225,293,365,407,134.4
La Araucania,Teodoro Schmidt,15786,-,4,-,-,-,19.0
La Araucania,Tolten,10055,-,-,4,5,7,69.6
La Araucania,Traiguen,19314,-,-,-,-,-,0.0
La Araucania,Victoria,35467,5,7,11,12,15,42.3
La Araucania,Vilcun,30766,4,5,11,18,20,65.0
La Araucania,Villarrica,59103,,4,6,11,15,25.4
Los Rios,Corral,5447,-,-,-,-,-,0.0
Los Rios,Futrono,15261,-,-,-,5,5,32.8
Los Rios,La Union,39538,-,9,10,17,18,45.5
Los Rios,Lago Ranco,10292,-,-,-,-,-,19.4
Los Rios,Lanco,17652,-,-,-,-,-,11.3
Los Rios,Los Lagos,20518,-,-,-,-,-,0.0
Los Rios,Mafil,7389,-,-,-,-,-,13.5
Los Rios,Mariquina,23250,-,-,-,6,8,34.4
Los Rios,Paillaco,20798,-,-,-,-,-,4.8
Los Rios,Panguipulli,35991,-,-,-,-,-,0.0
Los Rios,Rio Bueno,32925,-,-,-,5,5,15.2
Los Rios,Valdivia,176774,12,45,47,65,72,40.7
Los Lagos,Ancud,42458,-,-,-,-,-,4.7
Los Lagos,Calbuco,36744,4,5,5,5,5,13.6
Los Lagos,Castro,47607,-,-,-,4,6,12.6
Los Lagos,Chaiten,5020,-,-,-,-,-,19.9
Los Lagos,Chonchi,16013,-,-,-,-,-,0.0
Los Lagos,Cochamo,4006,-,-,-,-,-,0.0
Los Lagos,Curaco de Velez,4066,-,-,-,-,-,0.0
Los Lagos,Dalcahue,15069,-,-,-,-,-,0.0
Los Lagos,Fresia,12656,-,-,-,-,-,0.0
Los Lagos,Frutillar,20223,-,-,-,-,-,14.8
Los Lagos,Futaleufu,2806,-,-,-,-,-,0.0
Los Lagos,Hualaihue,9525,-,-,-,-,-,31.5
Los Lagos,Llanquihue,18621,-,-,-,-,-,0.0
Los Lagos,Los Muermos,17817,-,-,-,-,-,5.6
Los Lagos,Maullin,14894,-,-,-,-,-,0.0
Los Lagos,Osorno,173410,66,120,163,190,207,119.4
Los Lagos,Palena,1827,-,-,-,-,-,0.0
Los Lagos,Puerto Montt,269398,34,44,25,35,37,13.7
Los Lagos,Puerto Octay,9192,-,-,-,-,-,10.9
Los Lagos,Puerto Varas,48620,-,-,-,4,-,6.2
Los Lagos,Puqueldon,4201,-,-,-,-,-,0.0
Los Lagos,Purranque,21080,-,-,5,5,11,52.2
