Region,Codigo region,Comuna,Codigo comuna,Poblacion,2020-03-30,2020-04-01,2020-04-03,2020-04-06,2020-04-08,2020-04-10,2020-04-13,2020-04-15,Tasa
Del Libertador General Bernardo O’Higgins,06,Requinoa,06116,30371,-,-,-,-,-,-,1,1,3.3
Del Libertador General Bernardo O’Higgins,06,San Fernando,06301,78642,-,4,4,4,4,4,4,5,6.4
Del Libertador General Bernardo O’Higgins,06,San Vicente,06117,50617,-,-,4,4,4,4,4,4,7.9
Del Libertador General Bernardo O’Higgins,06,Santa Cruz,06310,41096,-,0,-,-,-,-,2,2,4.9
Del Libertador General Bernardo O’Higgins,06,Total,,991063,16,26,33,42,43,44,48,54,5.4
,,,,,,,,,,,,,
Maule,07,Cauquenes,07201,44143,-,-,-,4,4,4,4,4,9.1
Maule,07,Chanco,07202,9331,-,-,-,-,-,-,-,-,0.0
Maule,07,Colbun,07402,22565,-,4,4,5,5,5,5,5,22.2
Maule,07,Constitucion,07102,50348,-,-,-,-,5,5,5,4,7.9
Maule,07,Curepto,07103,9426,-,-,-,-,-,-,3,3,31.8
Maule,07,Curico,07301,163626,6,8,11,13,13,17,20,23,14.1
Maule,07,Empedrado,07104,4206,-,-,-,-,-,-,-,-,0.0
Maule,07,Hualane,07302,10222,-,-,-,-,-,-,-,-,0.0
Maule,07,Licanten,07303,6989,-,-,-,-,-,-,-,-,0.0
Maule,07,Linares,07401,101073,4,6,10,11,12,13,13,13,12.9
Maule,07,Longavi,07403,32810,-,-,-,-,-,-,2,2,6.1
Maule,07,Maule,07105,60000,-,-,-,-,-,-,4,5,8.3
Maule,07,Molina,07304,49800,-,-,-,-,-,-,3,3,6.0
Maule,07,Parral,07404,44544,4,-,-,-,4,5,6,6,13.5
Maule,07,Pelarco,07106,9083,-,-,-,-,-,-,3,3,33.0
Maule,07,Pelluhue,07203,8092,-,-,-,-,-,-,1,1,12.4
Maule,07,Pencahue,07107,8601,-,-,-,-,-,-,-,-,0.0
Maule,07,Rauco,07305,11248,-,-,-,-,-,-,2,2,17.8
Maule,07,Retiro,07405,21071,-,-,-,-,-,-,1,1,4.7
Maule,07,Rio Claro,07108,14753,-,-,-,-,-,-,3,3,20.3
Maule,07,Romeral,07306,16170,-,-,-,-,-,-,3,4,24.7
Maule,07,Sagrada Familia,07307,19469,-,-,-,-,-,-,1,1,5.1
Maule,07,San Clemente,07109,46292,-,-,-,-,-,-,-,-,0.0
Maule,07,San Javier,07406,49451,-,-,-,7,7,8,8,9,18.2
Maule,07,San Rafael,07110,9959,-,-,-,-,-,-,2,2,20.1
Maule,07,Talca,07101,236724,34,37,42,48,51,51,51,57,24.1
Maule,07,Teno,07308,30850,-,-,-,-,-,-,1,1,3.2
Maule,07,Vichuquen,07309,4381,-,-,-,-,-,-,-,-,0.0
Maule,07,Villa Alegre,07407,17512,-,-,-,-,-,-,-,-,0.0
Maule,07,Yerbas Buenas,07408,19200,-,-,-,-,-,-,-,-,0.0
Maule,07,Total,,1131939,58,71,89,108,119,131,141,152,13.4
,,,,,,,,,,,,,
Nuble,16,Bulnes,16102,22607,12,18,32,36,45,48,48,48,212.3
Nuble,16,Chillan,16101,198624,114,173,240,291,327,342,355,373,187.8
Nuble,16,Chillan Viejo,16103,33827,13,22,26,30,34,40,44,45,133.0
Nuble,16,Cobquecura,16202,5275,-,-,-,-,-,-,-,-,0.0
Nuble,16,Coelemu,16203,16845,-,-,-,-,4,4,4,4,23.7
Nuble,16,Coihueco,16302,28375,-,-,-,6,7,8,11,11,38.8
Nuble,16,El Carmen,16104,12334,-,-,-,-,-,-,3,3,24.3
Nuble,16,Ninhue,16204,5414,-,-,-,-,-,-,2,3,55.4
Nuble,16,Niquen,16303,11567,-,-,-,-,-,-,2,2,17.3
Nuble,16,Pemuco,16105,8639,-,-,-,-,-,-,4,4,46.3
Nuble,16,Pinto,16106,11880,-,-,6,9,10,10,10,10,84.2
Nuble,16,Portezuelo,16205,4940,-,-,-,-,-,-,1,-,0.0
