Region,Nuevos Casos,Casos Confirmados,Fallecidos,Fecha,Casostotalesacumulados,Casosnuevostotales,Casosnuevosconsintomas,Casosnuevossinsintomas*,%Total,Casosnuevossinsintomas,Tasa*100000,Incrementodiario,Region ID,Poblacion,Tasa
Valparaíso,0.0,0.0,0,2020/03/10,,,,,,,,,5,1960170,0.0
Metropolitana,1.0,10.0,0,2020/03/10,,,,,,,,,13,8125072,0.12307583243570025
O’Higgins,0.0,0.0,0,2020/03/10,,,,,,,,,6,991063,0.0
Maule,1.0,5.0,0,2020/03/10,,,,,,,,,7,1131939,0.4417199160025408
Ñuble,0.0,0.0,0,2020/03/10,,,,,,,,,16,511551,0.0
Biobío,0.0,1.0,0,2020/03/10,,,,,,,,,8,1663696,0.06010713495734797
Araucanía,0.0,0.0,0,2020/03/10,,,,,,,,,9,1014343,0.0
Los Ríos,0.0,0.0,0,2020/03/10,,,,,,,,,14,405835,0.0
Los Lagos,0.0,1.0,0,2020/03/10,,,,,,,,,10,891440,0.1121780489993718
Aysén,0.0,0.0,0,2020/03/10,,,,,,,,,11,107297,0.0
Magallanes,0.0,0.0,0,2020/03/10,,,,,,,,,12,178362,0.0
Arica y Parinacota,7.0,252.0,3,2020/04/26,,,,,,,,,15,252110,99.95636825195352
Tarapacá,13.0,156.0,1,2020/04/26,,,,,,,,,1,382773,40.75522568206222
Antofagasta,52.0,443.0,4,2020/04/26,,,,,,,,,2,691854,64.0308504395436
Atacama,5.0,29.0,0,2020/04/26,,,,,,,,,3,314709,9.214861983610255
Coquimbo,0.0,73.0,0,2020/04/26,,,,,,,,,4,836096,8.73105480710349
Valparaíso,6.0,460.0,9,2020/04/26,,,,,,,,,5,1960170,23.46735232148232
Metropolitana,331.0,7496.0,91,2020/04/26,,,,,,,,,13,8125072,92.25764399380091
O’Higgins,7.0,92.0,1,2020/04/26,,,,,,,,,6,991063,9.28296182987358
