Region,Codigo region,Comuna,Codigo comuna,Superficie_km2,Poblacion,Fecha,variable,value
Maule,7,Pencahue,7107,956.8,8601.0,2020-03-15,IM_interno,2.6823899371069184
Maule,7,Pencahue,7107,956.8,8601.0,2020-03-16,IM_interno,3.0232704402515713
Maule,7,Pencahue,7107,956.8,8601.0,2020-03-17,IM_interno,3.1232704402515723
Maule,7,Pencahue,7107,956.8,8601.0,2020-03-18,IM_interno,3.150943396226415
Maule,7,Pencahue,7107,956.8,8601.0,2020-03-19,IM_interno,3.067295597484277
Maule,7,Pencahue,7107,956.8,8601.0,2020-03-20,IM_interno,3.033333333333333
Maule,7,Pencahue,7107,956.8,8601.0,2020-03-21,IM_interno,2.6157232704402515
Maule,7,Pencahue,7107,956.8,8601.0,2020-03-22,IM_interno,2.2534591194968554
Maule,7,Pencahue,7107,956.8,8601.0,2020-03-23,IM_interno,3.1
Maule,7,Pencahue,7107,956.8,8601.0,2020-03-24,IM_interno,2.958490566037736
Maule,7,Pencahue,7107,956.8,8601.0,2020-03-25,IM_interno,3.149685534591195
Maule,7,Pencahue,7107,956.8,8601.0,2020-03-26,IM_interno,3.0257861635220125
Maule,7,Pencahue,7107,956.8,8601.0,2020-03-27,IM_interno,3.1238993710691823
Maule,7,Pencahue,7107,956.8,8601.0,2020-03-28,IM_interno,2.7031446540880504
Maule,7,Pencahue,7107,956.8,8601.0,2020-03-29,IM_interno,2.4698113207547165
Maule,7,Pencahue,7107,956.8,8601.0,2020-03-30,IM_interno,3.1025157232704403
Maule,7,Pencahue,7107,956.8,8601.0,2020-03-31,IM_interno,3.4968553459119507
Maule,7,Pencahue,7107,956.8,8601.0,2020-04-01,IM_interno,3.1
Maule,7,Pencahue,7107,956.8,8601.0,2020-04-02,IM_interno,3.1622641509433964
Maule,7,Pencahue,7107,956.8,8601.0,2020-04-03,IM_interno,2.9981132075471697
Maule,7,Pencahue,7107,956.8,8601.0,2020-04-04,IM_interno,2.750943396226415
Maule,7,Pencahue,7107,956.8,8601.0,2020-04-05,IM_interno,2.483647798742138
Maule,7,Pencahue,7107,956.8,8601.0,2020-04-06,IM_interno,3.1345911949685537
Maule,7,Pencahue,7107,956.8,8601.0,2020-04-07,IM_interno,3.1075471698113213
Maule,7,Pencahue,7107,956.8,8601.0,2020-04-08,IM_interno,3.259748427672956
Maule,7,Pencahue,7107,956.8,8601.0,2020-04-09,IM_interno,3.2
Maule,7,Pencahue,7107,956.8,8601.0,2020-04-10,IM_interno,2.080503144654088
Maule,7,Pencahue,7107,956.8,8601.0,2020-04-11,IM_interno,2.5220125786163523
Maule,7,Pencahue,7107,956.8,8601.0,2020-04-12,IM_interno,2.379874213836478
Maule,7,Rauco,7305,309.0,11248.0,2020-02-26,IM_interno,0.03695014662756598
Maule,7,Rauco,7305,309.0,11248.0,2020-02-27,IM_interno,0.030498533724340176
Maule,7,Rauco,7305,309.0,11248.0,2020-02-28,IM_interno,0.03167155425219941
Maule,7,Rauco,7305,309.0,11248.0,2020-02-29,IM_interno,0.04281524926686217
Maule,7,Rauco,7305,309.0,11248.0,2020-03-01,IM_interno,0.04809384164222874
Maule,7,Rauco,7305,309.0,11248.0,2020-03-02,IM_interno,0.029325513196480937
Maule,7,Rauco,7305,309.0,11248.0,2020-03-03,IM_interno,0.017008797653958945
Maule,7,Rauco,7305,309.0,11248.0,2020-03-04,IM_interno,0.01994134897360704
Maule,7,Rauco,7305,309.0,11248.0,2020-03-05,IM_interno,0.011730205278592377
Maule,7,Rauco,7305,309.0,11248.0,2020-03-06,IM_interno,0.02404692082111437
Maule,7,Rauco,7305,309.0,11248.0,2020-03-07,IM_interno,0.0310850439882698
Maule,7,Rauco,7305,309.0,11248.0,2020-03-08,IM_interno,0.040469208211143685
Maule,7,Rauco,7305,309.0,11248.0,2020-03-09,IM_interno,0.02756598240469208
Maule,7,Rauco,7305,309.0,11248.0,2020-03-10,IM_interno,0.01407624633431085
Maule,7,Rauco,7305,309.0,11248.0,2020-03-11,IM_interno,0.02287390029325513
Maule,7,Rauco,7305,309.0,11248.0,2020-03-12,IM_interno,0.01935483870967742
Maule,7,Rauco,7305,309.0,11248.0,2020-03-13,IM_interno,0.029325513196480937
Maule,7,Rauco,7305,309.0,11248.0,2020-03-14,IM_interno,0.01994134897360704
Maule,7,Rauco,7305,309.0,11248.0,2020-03-15,IM_interno,0.026392961876832845
Maule,7,Rauco,7305,309.0,11248.0,2020-03-16,IM_interno,0.01407624633431085
Maule,7,Rauco,7305,309.0,11248.0,2020-03-17,IM_interno,0.014662756598240468
Maule,7,Rauco,7305,309.0,11248.0,2020-03-18,IM_interno,0.015835777126099706
Maule,7,Rauco,7305,309.0,11248.0,2020-03-19,IM_interno,0.017008797653958945
Maule,7,Rauco,7305,309.0,11248.0,2020-03-20,IM_interno,0.01994134897360704
Maule,7,Rauco,7305,309.0,11248.0,2020-03-21,IM_interno,0.012903225806451613
Maule,7,Rauco,7305,309.0,11248.0,2020-03-22,IM_interno,0.0093841642228739
Maule,7,Rauco,7305,309.0,11248.0,2020-03-23,IM_interno,0.012903225806451613
Maule,7,Rauco,7305,309.0,11248.0,2020-03-24,IM_interno,0.00997067448680352
Maule,7,Rauco,7305,309.0,11248.0,2020-03-25,IM_interno,0.012316715542521995
Maule,7,Rauco,7305,309.0,11248.0,2020-03-26,IM_interno,0.0187683284457478
