Region,Codigo region,Comuna,Codigo comuna,Superficie_km2,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12
La Araucanía,9.0,Galvarino,9106,568.2,3,4,3,3,3,5,5,3,3,4,3,3,3,4,3,3,5,4,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,2,2,2
La Araucanía,9.0,Gorbea,9107,694.5,9,10,10,10,9,9,8,8,8,9,8,7,8,8,7,8,9,8,8,8,7,7,6,6,5,4,5,5,5,5,6,4,4,5,5,5,5,5,5,4,5,5,5,5,4,4,4
La Araucanía,9.0,Lautaro,9108,901.1,8,8,8,7,7,8,8,7,7,8,7,5,7,7,7,7,8,7,6,7,6,6,6,6,4,4,5,5,5,5,5,4,3,4,4,5,5,5,4,3,4,5,5,5,3,3,3
La Araucanía,9.0,Loncoche,9109,976.8,5,5,5,5,5,5,4,4,4,5,5,4,5,4,4,5,6,7,6,5,4,4,4,4,3,3,3,3,4,4,4,3,3,3,4,4,4,4,3,3,3,3,3,3,2,3,3
La Araucanía,9.0,Lonquimay,9205,3914.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
La Araucanía,9.0,Los Sauces,9206,849.8,6,6,7,6,5,5,5,6,5,6,5,4,5,5,5,5,6,5,3,4,5,5,4,4,4,1,4,3,4,4,4,3,3,4,4,4,4,4,4,3,4,4,4,4,2,3,3
La Araucanía,9.0,Lumaco,9207,1119,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,2,3,3,3,2,2,2,2,3,3,3,3,2,3,3,3,3,2,2,2
La Araucanía,9.0,Melipeuco,9110,1107.3,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
La Araucanía,9.0,Nueva Imperial,9111,732.5,6,6,6,6,5,6,6,6,6,6,6,5,6,6,6,6,7,5,5,6,5,5,4,4,3,3,4,3,4,4,4,3,2,4,4,4,3,4,3,3,4,4,4,4,2,2,2
La Araucanía,9.0,Padre Las Casas,9112,400.7,8,8,8,7,6,7,7,8,7,8,7,6,7,7,7,7,8,7,6,7,6,6,6,6,5,4,5,5,5,5,6,5,3,4,4,4,4,5,4,3,4,5,5,5,4,4,3
