Region,Codigo region,Comuna,Codigo comuna,Superficie_km2,Poblacion,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12
Biobío,8.0,Talcahuano,8110,92.3,158345.0,4,4,4,4,3,4,4,4,4,5,4,4,4,4,4,4,5,4,3,4,3,3,3,3,2,2,3,2,2,2,2,2,2,3,3,3,3,3,2,2,3,3,2,2,2,2,2
Biobío,8.0,Tirúa,8207,624.4,11019.0,2,2,2,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Biobío,8.0,Tomé,8111,494.5,58729.0,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,1,1,2,2,2,2,2,2,1,2,2,2,2,1,1,1
Biobío,8.0,Tucapel,8312,914.9,15205.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1
Biobío,8.0,Yumbel,8313,727,22132.0,3,3,3,3,3,2,2,2,2,3,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,1,2,1,1,2,2,1,1,2,2,2,2,2,2,1,2,2,2,1,1,1,1
Coquimbo,4.0,Andacollo,4103,310,11791.0,6,5,5,5,5,5,5,5,6,5,5,4,5,5,5,5,6,5,4,5,5,5,5,5,4,3,4,4,4,4,4,3,3,4,4,4,4,4,4,3,4,4,4,4,3,3,3
Coquimbo,4.0,Canela,4202,2196.6,9546.0,8,9,8,8,7,7,6,6,6,7,5,5,5,5,5,5,7,5,5,6,5,5,4,4,3,2,3,3,3,3,3,2,1,2,3,3,2,3,2,2,2,3,3,2,1,1,1
Coquimbo,4.0,Combarbalá,4302,2257.5,13884.0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0
Coquimbo,4.0,Coquimbo,4102,1429,256735.0,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Coquimbo,4.0,Illapel,4201,2629,32801.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
