Region,Codigo region,Poblacion,fecha,numero
Arica y Parinacota,15,252110,2020-05-13,7
Tarapacá,01,382773,2020-05-13,8
Antofagasta,02,691854,2020-05-13,38
Atacama,03,314709,2020-05-13,2
Coquimbo,04,836096,2020-05-13,0
Valparaíso,05,1960170,2020-05-13,24
Metropolitana,13,8125072,2020-05-13,490
O’Higgins,06,991063,2020-05-13,7
Maule,07,1131939,2020-05-13,6
Ñuble,16,511551,2020-05-13,5
Biobío,08,1663696,2020-05-13,14
Araucanía,09,1014343,2020-05-13,18
Los Ríos,14,405835,2020-05-13,0
Los Lagos,10,891440,2020-05-13,11
Aysén,11,107297,2020-05-13,0
Magallanes,12,178362,2020-05-13,12
Arica y Parinacota,15,252110,2020-05-14,7
Tarapacá,01,382773,2020-05-14,9
Antofagasta,02,691854,2020-05-14,39
Atacama,03,314709,2020-05-14,2
Coquimbo,04,836096,2020-05-14,0
Valparaíso,05,1960170,2020-05-14,25
Metropolitana,13,8125072,2020-05-14,509
O’Higgins,06,991063,2020-05-14,8
Maule,07,1131939,2020-05-14,6
Ñuble,16,511551,2020-05-14,5
Biobío,08,1663696,2020-05-14,11
Araucanía,09,1014343,2020-05-14,17
Los Ríos,14,405835,2020-05-14,0
Los Lagos,10,891440,2020-05-14,13
Aysén,11,107297,2020-05-14,0
Magallanes,12,178362,2020-05-14,12
Arica y Parinacota,15,252110,2020-05-15,7
Tarapacá,01,382773,2020-05-15,13
Antofagasta,02,691854,2020-05-15,41
Atacama,03,314709,2020-05-15,3
Coquimbo,04,836096,2020-05-15,2
Valparaíso,05,1960170,2020-05-15,25
Metropolitana,13,8125072,2020-05-15,551
O’Higgins,06,991063,2020-05-15,7
Maule,07,1131939,2020-05-15,6
Ñuble,16,511551,2020-05-15,5
Biobío,08,1663696,2020-05-15,12
Araucanía,09,1014343,2020-05-15,16
Los Ríos,14,405835,2020-05-15,0
Los Lagos,10,891440,2020-05-15,11
Aysén,11,107297,2020-05-15,0
Magallanes,12,178362,2020-05-15,12
Arica y Parinacota,15,252110,2020-05-16,8
Tarapacá,01,382773,2020-05-16,13
Antofagasta,02,691854,2020-05-16,45
Atacama,03,314709,2020-05-16,3
Coquimbo,04,836096,2020-05-16,1
Valparaíso,05,1960170,2020-05-16,26
Metropolitana,13,8125072,2020-05-16,581
O’Higgins,06,991063,2020-05-16,10
Maule,07,1131939,2020-05-16,8
Ñuble,16,511551,2020-05-16,5
Biobío,08,1663696,2020-05-16,14
Araucanía,09,1014343,2020-05-16,16
Los Ríos,14,405835,2020-05-16,0
Los Lagos,10,891440,2020-05-16,10
Aysén,11,107297,2020-05-16,0
Magallanes,12,178362,2020-05-16,11
Arica y Parinacota,15,252110,2020-05-17,8
Tarapacá,01,382773,2020-05-17,12
Antofagasta,02,691854,2020-05-17,49
Atacama,03,314709,2020-05-17,3
Coquimbo,04,836096,2020-05-17,1
Valparaíso,05,1960170,2020-05-17,27
Metropolitana,13,8125072,2020-05-17,595
O’Higgins,06,991063,2020-05-17,10
Maule,07,1131939,2020-05-17,8
Ñuble,16,511551,2020-05-17,5
Biobío,08,1663696,2020-05-17,14
Araucanía,09,1014343,2020-05-17,17
Los Ríos,14,405835,2020-05-17,0
Los Lagos,10,891440,2020-05-17,9
Aysén,11,107297,2020-05-17,0
Magallanes,12,178362,2020-05-17,11
Arica y Parinacota,15,252110,2020-05-18,8
Tarapacá,01,382773,2020-05-18,16
Antofagasta,02,691854,2020-05-18,47
Atacama,03,314709,2020-05-18,3
Coquimbo,04,836096,2020-05-18,1
Valparaíso,05,1960170,2020-05-18,32
Metropolitana,13,8125072,2020-05-18,620
O’Higgins,06,991063,2020-05-18,9
Maule,07,1131939,2020-05-18,8
Ñuble,16,511551,2020-05-18,5
Biobío,08,1663696,2020-05-18,17
Araucanía,09,1014343,2020-05-18,18
Los Ríos,14,405835,2020-05-18,0
Los Lagos,10,891440,2020-05-18,11
Aysén,11,107297,2020-05-18,0
Magallanes,12,178362,2020-05-18,12
Arica y Parinacota,15,252110,2020-05-19,8
Tarapacá,01,382773,2020-05-19,18
Antofagasta,02,691854,2020-05-19,50
Atacama,03,314709,2020-05-19,3
Coquimbo,04,836096,2020-05-19,1
Valparaíso,05,1960170,2020-05-19,34
Metropolitana,13,8125072,2020-05-19,682
O’Higgins,06,991063,2020-05-19,9
Maule,07,1131939,2020-05-19,8
Ñuble,16,511551,2020-05-19,7
Biobío,08,1663696,2020-05-19,18
Araucanía,09,1014343,2020-05-19,18
Los Ríos,14,405835,2020-05-19,0
Los Lagos,10,891440,2020-05-19,10
Aysén,11,107297,2020-05-19,0
Magallanes,12,178362,2020-05-19,10
Arica y Parinacota,15,252110,2020-05-20,7
Tarapacá,01,382773,2020-05-20,18
Antofagasta,02,691854,2020-05-20,50
Atacama,03,314709,2020-05-20,3
Coquimbo,04,836096,2020-05-20,0
Valparaíso,05,1960170,2020-05-20,38
Metropolitana,13,8125072,2020-05-20,705
O’Higgins,06,991063,2020-05-20,14
Maule,07,1131939,2020-05-20,8
Ñuble,16,511551,2020-05-20,7
Biobío,08,1663696,2020-05-20,19
Araucanía,09,1014343,2020-05-20,18
Los Ríos,14,405835,2020-05-20,0
Los Lagos,10,891440,2020-05-20,8
Aysén,11,107297,2020-05-20,0
Magallanes,12,178362,2020-05-20,9
Arica y Parinacota,15,252110,2020-05-21,7
Tarapacá,01,382773,2020-05-21,21
Antofagasta,02,691854,2020-05-21,50
Atacama,03,314709,2020-05-21,3
Coquimbo,04,836096,2020-05-21,1
Valparaíso,05,1960170,2020-05-21,38
Metropolitana,13,8125072,2020-05-21,730
O’Higgins,06,991063,2020-05-21,18
Maule,07,1131939,2020-05-21,10
Ñuble,16,511551,2020-05-21,8
Biobío,08,1663696,2020-05-21,23
Araucanía,09,1014343,2020-05-21,17
Los Ríos,14,405835,2020-05-21,0
Los Lagos,10,891440,2020-05-21,8
Aysén,11,107297,2020-05-21,0
Magallanes,12,178362,2020-05-21,9
Arica y Parinacota,15,252110,2020-05-22,8
Tarapacá,01,382773,2020-05-22,18
Antofagasta,02,691854,2020-05-22,44
Atacama,03,314709,2020-05-22,3
Coquimbo,04,836096,2020-05-22,3
Valparaíso,05,1960170,2020-05-22,37
Metropolitana,13,8125072,2020-05-22,771
O’Higgins,06,991063,2020-05-22,22
Maule,07,1131939,2020-05-22,16
Ñuble,16,511551,2020-05-22,9
Biobío,08,1663696,2020-05-22,21
Araucanía,09,1014343,2020-05-22,18
Los Ríos,14,405835,2020-05-22,0
Los Lagos,10,891440,2020-05-22,9
Aysén,11,107297,2020-05-22,0
Magallanes,12,178362,2020-05-22,7
Arica y Parinacota,15,252110,2020-05-23,9
Tarapacá,01,382773,2020-05-23,17
Antofagasta,02,691854,2020-05-23,44
Atacama,03,314709,2020-05-23,3
Coquimbo,04,836096,2020-05-23,3
Valparaíso,05,1960170,2020-05-23,46
Metropolitana,13,8125072,2020-05-23,832
O’Higgins,06,991063,2020-05-23,24
Maule,07,1131939,2020-05-23,15
Ñuble,16,511551,2020-05-23,10
Biobío,08,1663696,2020-05-23,23
Araucanía,09,1014343,2020-05-23,19
Los Ríos,14,405835,2020-05-23,0
Los Lagos,10,891440,2020-05-23,10
Aysén,11,107297,2020-05-23,0
Magallanes,12,178362,2020-05-23,7
