Año,Mes,Semana,Inicio_semana,Fin_semana,Cod_region_origen,Region_origen,Cod_region_destino,Region_destino,Origen,Destino,Operaciones,Pasajeros
2020,3,9,24-02-2020,01-03-2020,14,Los Ríos,13,Metropolitana,Valdivia,Santiago,7,1021
2020,3,9,24-02-2020,01-03-2020,12,Magallanes,13,Metropolitana,Puerto Natales,Santiago,3,462
2020,3,10,02-03-2020,08-03-2020,2,Antofagasta,15,Arica y Parinacota,Antofagasta,Arica,2,196
2020,3,10,02-03-2020,08-03-2020,2,Antofagasta,8,Biobío,Antofagasta,Concepción,9,989
2020,3,10,02-03-2020,08-03-2020,2,Antofagasta,4,Coquimbo,Antofagasta,La Serena,16,2086
2020,3,10,02-03-2020,08-03-2020,2,Antofagasta,10,Los Lagos,Antofagasta,Puerto Montt,2,136
2020,3,10,02-03-2020,08-03-2020,2,Antofagasta,13,Metropolitana,Antofagasta,Santiago,125,17747
2020,3,10,02-03-2020,08-03-2020,2,Antofagasta,9,Araucanía,Antofagasta,Temuco,2,174
2020,3,10,02-03-2020,08-03-2020,15,Arica y Parinacota,2,Antofagasta,Arica,Antofagasta,2,167
2020,3,10,02-03-2020,08-03-2020,15,Arica y Parinacota,8,Biobío,Arica,Concepción,3,336
2020,3,10,02-03-2020,08-03-2020,15,Arica y Parinacota,3,Atacama,Arica,Copiapó,1,141
2020,3,10,02-03-2020,08-03-2020,15,Arica y Parinacota,4,Coquimbo,Arica,La Serena,2,271
2020,3,10,02-03-2020,08-03-2020,15,Arica y Parinacota,13,Metropolitana,Arica,Santiago,52,8309
2020,3,10,02-03-2020,08-03-2020,11,Aysén,8,Biobío,Balmaceda,Concepción,2,291
2020,3,10,02-03-2020,08-03-2020,11,Aysén,10,Los Lagos,Balmaceda,Puerto Montt,18,2580
2020,3,10,02-03-2020,08-03-2020,11,Aysén,12,Magallanes,Balmaceda,Punta Arenas,2,149
2020,3,10,02-03-2020,08-03-2020,11,Aysén,13,Metropolitana,Balmaceda,Santiago,36,4281
2020,3,10,02-03-2020,08-03-2020,11,Aysén,9,Araucanía,Balmaceda,Temuco,2,260
2020,3,10,02-03-2020,08-03-2020,2,Antofagasta,8,Biobío,Calama,Concepción,9,1179
2020,3,10,02-03-2020,08-03-2020,2,Antofagasta,4,Coquimbo,Calama,La Serena,9,1069
2020,3,10,02-03-2020,08-03-2020,2,Antofagasta,13,Metropolitana,Calama,Santiago,127,19003
2020,3,10,02-03-2020,08-03-2020,8,Biobío,2,Antofagasta,Concepción,Antofagasta,9,1334
2020,3,10,02-03-2020,08-03-2020,8,Biobío,15,Arica y Parinacota,Concepción,Arica,3,303
2020,3,10,02-03-2020,08-03-2020,8,Biobío,11,Aysén,Concepción,Balmaceda,2,264
2020,3,10,02-03-2020,08-03-2020,8,Biobío,2,Antofagasta,Concepción,Calama,8,1089
2020,3,10,02-03-2020,08-03-2020,8,Biobío,1,Tarapacá,Concepción,Iquique,9,1083
2020,3,10,02-03-2020,08-03-2020,8,Biobío,4,Coquimbo,Concepción,La Serena,3,283
2020,3,10,02-03-2020,08-03-2020,8,Biobío,12,Magallanes,Concepción,Punta Arenas,4,671
2020,3,10,02-03-2020,08-03-2020,8,Biobío,13,Metropolitana,Concepción,Santiago,89,13386
2020,3,10,02-03-2020,08-03-2020,3,Atacama,13,Metropolitana,Copiapó,Santiago,45,6543
2020,3,10,02-03-2020,08-03-2020,1,Tarapacá,8,Biobío,Iquique,Concepción,9,998
2020,3,10,02-03-2020,08-03-2020,1,Tarapacá,4,Coquimbo,Iquique,La Serena,8,1052
2020,3,10,02-03-2020,08-03-2020,1,Tarapacá,13,Metropolitana,Iquique,Santiago,101,16055
2020,3,10,02-03-2020,08-03-2020,5,Valparaíso,13,Metropolitana,Isla de Pascua,Santiago,12,3233
2020,3,10,02-03-2020,08-03-2020,4,Coquimbo,2,Antofagasta,La Serena,Antofagasta,16,2147
2020,3,10,02-03-2020,08-03-2020,4,Coquimbo,15,Arica y Parinacota,La Serena,Arica,2,295
2020,3,10,02-03-2020,08-03-2020,4,Coquimbo,2,Antofagasta,La Serena,Calama,9,1141
2020,3,10,02-03-2020,08-03-2020,4,Coquimbo,8,Biobío,La Serena,Concepción,3,329
2020,3,10,02-03-2020,08-03-2020,4,Coquimbo,1,Tarapacá,La Serena,Iquique,9,1110
2020,3,10,02-03-2020,08-03-2020,4,Coquimbo,13,Metropolitana,La Serena,Santiago,54,8547
2020,3,10,02-03-2020,08-03-2020,10,Los Lagos,13,Metropolitana,Castro,Santiago,5,828
2020,3,10,02-03-2020,08-03-2020,10,Los Lagos,13,Metropolitana,Osorno,Santiago,12,1854
2020,3,10,02-03-2020,08-03-2020,10,Los Lagos,2,Antofagasta,Puerto Montt,Antofagasta,2,198
2020,3,10,02-03-2020,08-03-2020,10,Los Lagos,11,Aysén,Puerto Montt,Balmaceda,18,2209
2020,3,10,02-03-2020,08-03-2020,10,Los Lagos,12,Magallanes,Puerto Montt,Punta Arenas,20,3402
2020,3,10,02-03-2020,08-03-2020,10,Los Lagos,13,Metropolitana,Puerto Montt,Santiago,102,17265
2020,3,10,02-03-2020,08-03-2020,12,Magallanes,11,Aysén,Punta Arenas,Balmaceda,2,93
2020,3,10,02-03-2020,08-03-2020,12,Magallanes,8,Biobío,Punta Arenas,Concepción,4,469
2020,3,10,02-03-2020,08-03-2020,12,Magallanes,12,Magallanes,Punta Arenas,Puerto Williams,8,496
2020,3,10,02-03-2020,08-03-2020,12,Magallanes,12,Magallanes,Punta Arenas,Antártica,4,218
2020,3,10,02-03-2020,08-03-2020,12,Magallanes,12,Magallanes,Punta Arenas,Porvenir,15,115
2020,3,10,02-03-2020,08-03-2020,12,Magallanes,10,Los Lagos,Punta Arenas,Puerto Montt,21,2342
2020,3,10,02-03-2020,08-03-2020,12,Magallanes,13,Metropolitana,Punta Arenas,Santiago,64,8905
2020,3,10,02-03-2020,08-03-2020,12,Magallanes,9,Araucanía,Punta Arenas,Temuco,2,228
2020,3,10,02-03-2020,08-03-2020,12,Magallanes,12,Magallanes,Punta Arenas,Bahia Inutil,2,7
2020,3,10,02-03-2020,08-03-2020,12,Magallanes,12,Magallanes,Punta Arenas,Puerto Natales,3,34
2020,3,10,02-03-2020,08-03-2020,13,Metropolitana,2,Antofagasta,Santiago,Antofagasta,118,18121
2020,3,10,02-03-2020,08-03-2020,13,Metropolitana,15,Arica y Parinacota,Santiago,Arica,49,7519
2020,3,10,02-03-2020,08-03-2020,13,Metropolitana,11,Aysén,Santiago,Balmaceda,30,3947
2020,3,10,02-03-2020,08-03-2020,13,Metropolitana,2,Antofagasta,Santiago,Calama,127,18514
2020,3,10,02-03-2020,08-03-2020,13,Metropolitana,8,Biobío,Santiago,Concepción,94,13239
2020,3,10,02-03-2020,08-03-2020,13,Metropolitana,3,Atacama,Santiago,Copiapó,44,6172
2020,3,10,02-03-2020,08-03-2020,13,Metropolitana,3,Atacama,Santiago,El Salvador,1,80
2020,3,10,02-03-2020,08-03-2020,13,Metropolitana,1,Tarapacá,Santiago,Iquique,98,14770
2020,3,10,02-03-2020,08-03-2020,13,Metropolitana,5,Valparaíso,Santiago,Isla de Pascua,12,3110
2020,3,10,02-03-2020,08-03-2020,13,Metropolitana,4,Coquimbo,Santiago,La Serena,55,8329
2020,3,10,02-03-2020,08-03-2020,13,Metropolitana,10,Los Lagos,Santiago,Castro,5,726
