Region,Codigo region,Comuna,Codigo comuna,Poblacion,SE9,SE10,SE11,SE12,SE13,SE14,SE15
Maule,07,Sagrada Familia,07307,19469.0,-,-,-,-,-,1,-
Maule,07,San Clemente,07109,46292.0,-,-,-,-,-,-,-
Maule,07,San Javier,07406,49451.0,-,-,-,-,2,6,-
Maule,07,San Rafael,07110,9959.0,-,-,-,-,1,-,1
Maule,07,Talca,07101,236724.0,-,3,9,13,19,7,-
Maule,07,Teno,07308,30850.0,-,-,-,-,-,-,1
Maule,07,Vichuquen,07309,4381.0,-,-,-,-,-,-,-
Maule,07,Villa Alegre,07407,17512.0,-,-,-,-,-,-,-
Maule,07,Yerbas Buenas,07408,19200.0,-,-,-,-,-,-,-
Ñuble,16,Bulnes,16102,22607.0,-,-,-,8,27,9,4
Ñuble,16,Chillan,16101,198624.0,1,2,30,119,119,73,11
Ñuble,16,Chillan Viejo,16103,33827.0,-,-,4,5,22,8,5
Ñuble,16,Cobquecura,16202,5275.0,-,-,-,-,-,-,-
Ñuble,16,Coelemu,16203,16845.0,-,-,-,-,2,2,-
Ñuble,16,Coihueco,16302,28375.0,-,-,-,3,2,3,3
Ñuble,16,El Carmen,16104,12334.0,-,-,-,1,1,1,-
Ñuble,16,Ninhue,16204,5414.0,-,-,-,-,-,2,-
Ñuble,16,Niquen,16303,11567.0,-,-,-,-,-,-,2
Ñuble,16,Pemuco,16105,8639.0,-,-,-,1,-,3,-
Ñuble,16,Pinto,16106,11880.0,-,-,-,2,3,4,1
Ñuble,16,Portezuelo,16205,4940.0,-,-,-,-,-,1,-
Ñuble,16,Quillon,16107,18777.0,-,-,1,8,8,6,-
Ñuble,16,Quirihue,16201,12192.0,-,-,-,-,1,3,-
Ñuble,16,Ranquil,16206,6261.0,-,-,-,3,2,5,-
Ñuble,16,San Carlos,16301,56252.0,-,-,3,7,9,9,3
Ñuble,16,San Fabian,16304,4654.0,-,-,-,2,3,1,-
Ñuble,16,San Ignacio,16108,16624.0,-,-,-,2,3,1,-
Ñuble,16,San Nicolas,16305,12172.0,-,-,1,2,4,4,1
Ñuble,16,Treguaco,16207,5696.0,-,-,-,-,-,-,-
Ñuble,16,Yungay,16109,18596.0,-,-,-,6,11,23,2
Biobío,08,Alto Biobio,08314,6775.0,-,-,-,-,-,-,-
Biobío,08,Antuco,08302,4306.0,-,-,-,-,-,-,-
Biobío,08,Arauco,08202,38679.0,-,-,1,1,2,2,-
Biobío,08,Cabrero,08303,30725.0,-,-,-,-,-,4,3
Biobío,08,Canete,08203,37003.0,-,-,-,-,-,-,
Biobío,08,Chiguayante,08103,91180.0,-,-,3,6,5,14,13
Biobío,08,Concepcion,08101,238092.0,-,-,7,30,32,23,-
Biobío,08,Contulmo,08204,6330.0,-,-,-,-,-,-,-
Biobío,08,Coronel,08102,125829.0,-,-,-,3,6,8,1
Biobío,08,Curanilahue,08205,33892.0,-,-,-,1,-,-,-
Biobío,08,Florida,08104,11841.0,-,-,-,-,2,-,-
Biobío,08,Hualpen,08112,97273.0,-,-,-,5,20,39,29
Biobío,08,Hualqui,08105,26201.0,-,-,1,1,2,1,3
Biobío,08,Laja,08304,23873.0,-,1,1,-,4,-,-
Biobío,08,Lebu,08201,27100.0,-,-,-,-,-,-,-
Biobío,08,Los Alamos,08206,22524.0,-,-,-,-,-,-,-
Biobío,08,Los Angeles,08301,218515.0,-,-,2,4,12,4,-
Biobío,08,Lota,08106,45750.0,-,-,-,1,-,-,-
Biobío,08,Mulchen,08305,31041.0,-,-,-,1,4,-,-
Biobío,08,Nacimiento,08306,27944.0,-,-,-,2,3,3,1
Biobío,08,Negrete,08307,10429.0,-,-,-,-,-,2,-
Biobío,08,Penco,08107,49865.0,-,-,-,1,3,3,2
Biobío,08,Quilaco,08308,4179.0,-,-,-,-,-,-,-
Biobío,08,Quilleco,08309,10032.0,-,-,-,-,-,-,-
Biobío,08,San Pedro de la Paz,08108,145906.0,1,-,4,16,30,17,12
Biobío,08,San Rosendo,08310,3611.0,-,-,-,-,-,-,-
Biobío,08,Santa Barbara,08311,14592.0,-,-,-,1,1,-,-
Biobío,08,Santa Juana,08109,14779.0,-,-,-,-,-,-,-
Biobío,08,Talcahuano,08110,158345.0,-,-,1,6,32,17,-
Biobío,08,Tirua,08207,11019.0,-,-,-,1,2,1,-
Biobío,08,Tome,08111,58729.0,-,-,-,6,4,9,18
Biobío,08,Tucapel,08312,15205.0,-,-,-,-,-,-,1
Biobío,08,Yumbel,08313,22132.0,-,-,-,-,5,-,-
Araucanía,09,Angol,09201,56058.0,-,-,1,3,11,8,5
Araucanía,09,Carahue,09102,25486.0,-,-,-,1,3,9,5
Araucanía,09,Cholchol,09121,12341.0,-,-,-,1,3,-,-
Araucanía,09,Collipulli,09202,26148.0,-,-,-,-,-,1,-
Araucanía,09,Cunco,09103,18055.0,-,-,-,-,3,2,-
Araucanía,09,Curacautin,09203,18178.0,-,-,-,2,-,3,-
Araucanía,09,Curarrehue,09104,7802.0,-,-,1,1,2,-,-
Araucanía,09,Ercilla,09204,8458.0,-,-,-,-,-,3,-
Araucanía,09,Freire,09105,25446.0,-,-,-,2,3,-,-
Araucanía,09,Galvarino,09106,12633.0,-,-,-,-,1,1,-
Araucanía,09,Gorbea,09107,15148.0,-,-,1,4,4,1,-
Araucanía,09,Lautaro,09108,40746.0,1,-,-,4,4,13,-
Araucanía,09,Loncoche,09109,24739.0,-,-,-,2,1,2,2
Araucanía,09,Lonquimay,09205,11049.0,-,-,-,-,-,-,-
Araucanía,09,Los Sauces,09206,7517.0,-,-,-,-,-,-,-
Araucanía,09,Lumaco,09207,10050.0,-,-,-,-,-,-,-
Araucanía,09,Melipeuco,09110,6265.0,-,-,-,-,-,-,-
Araucanía,09,Nueva Imperial,09111,33777.0,-,-,-,6,10,6,3
Araucanía,09,Padre Las Casas,09112,82110.0,-,-,-,10,19,9,11
Araucanía,09,Perquenco,09113,7223.0,-,-,-,1,1,1,-
Araucanía,09,Pitrufquen,09114,26096.0,-,-,1,4,7,4,-
Araucanía,09,Pucon,09115,29782.0,-,-,1,3,-,1,-
Araucanía,09,Puren,09208,12188.0,-,-,-,-,2,-,-
Araucanía,09,Renaico,09209,10833.0,-,-,-,-,1,1,-
Araucanía,09,Saavedra,09116,12793.0,-,-,-,-,-,-,-
Araucanía,09,Temuco,09101,302931.0,-,3,24,137,148,124,35
Araucanía,09,Teodoro Schmidt,09117,15786.0,-,-,-,2,2,-,1
Araucanía,09,Tolten,09118,10055.0,-,-,-,3,1,2,1
Araucanía,09,Traiguen,09210,19314.0,-,-,-,-,-,2,-
Araucanía,09,Victoria,09211,35467.0,-,-,-,2,7,4,2
Araucanía,09,Vilcun,09119,30766.0,-,-,-,5,9,10,-
Araucanía,09,Villarrica,09120,59103.0,-,-,-,2,11,4,1
Los Ríos,14,Corral,14102,5447.0,-,-,-,-,-,-,-
Los Ríos,14,Futrono,14202,15261.0,-,-,-,1,3,1,-
Los Ríos,14,La Union,14201,39538.0,-,-,1,2,6,5,4
Los Ríos,14,Lago Ranco,14203,10292.0,-,-,-,1,1,-,-
Los Ríos,14,Lanco,14103,17652.0,-,-,-,-,1,1,-
Los Ríos,14,Los Lagos,14104,20518.0,-,-,-,-,-,-,-
Los Ríos,14,Mafil,14105,7389.0,-,-,-,1,-,-,-
