Region,Codigo region,Comuna,Codigo comuna,Poblacion,Publicacion,SE7,SE8,SE9,SE10,SE11,SE12,SE13,SE14,SE15,SE16,SE17,SE18,SE19
Valparaíso,5.0,San Antonio,5601.0,96761.0,2020-04-21,0.0,0.0,0.0,0.0,0.0,0.0,5.0,12.0,11.0,6.0,0.0,0.0,0.0
Valparaíso,5.0,San Esteban,5304.0,20643.0,2020-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Valparaíso,5.0,San Felipe,5701.0,83494.0,2020-04-21,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
Valparaíso,5.0,Santa Maria,5706.0,16367.0,2020-04-21,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Valparaíso,5.0,Santo Domingo,5606.0,11934.0,2020-04-21,0.0,0.0,0.0,0.0,2.0,1.0,0.0,5.0,3.0,1.0,0.0,0.0,0.0
Valparaíso,5.0,Valparaiso,5101.0,315732.0,2020-04-21,0.0,0.0,0.0,1.0,2.0,10.0,16.0,11.0,12.0,7.0,0.0,0.0,0.0
Valparaíso,5.0,Villa Alemana,5804.0,139310.0,2020-04-21,0.0,0.0,0.0,0.0,2.0,7.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
Valparaíso,5.0,Vina del Mar,5109.0,361371.0,2020-04-21,0.0,0.0,0.0,0.0,7.0,21.0,27.0,19.0,12.0,8.0,0.0,0.0,0.0
Valparaíso,5.0,Zapallar,5405.0,7994.0,2020-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Metropolitana,13.0,Alhue,13502.0,7405.0,2020-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Metropolitana,13.0,Buin,13402.0,109641.0,2020-04-21,0.0,0.0,0.0,0.0,0.0,4.0,18.0,8.0,12.0,5.0,0.0,0.0,0.0
Metropolitana,13.0,Calera de Tango,13403.0,28525.0,2020-04-21,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,1.0,4.0,0.0,0.0,0.0
Metropolitana,13.0,Cerrillos,13102.0,88956.0,2020-04-21,0.0,0.0,0.0,1.0,2.0,4.0,9.0,12.0,18.0,7.0,0.0,0.0,0.0
Metropolitana,13.0,Cerro Navia,13103.0,142465.0,2020-04-21,0.0,0.0,0.0,0.0,10.0,12.0,10.0,12.0,34.0,20.0,1.0,0.0,0.0
Metropolitana,13.0,Colina,13301.0,180353.0,2020-04-21,0.0,0.0,0.0,3.0,6.0,30.0,14.0,17.0,11.0,9.0,0.0,0.0,0.0
Metropolitana,13.0,Conchali,13104.0,139195.0,2020-04-21,0.0,0.0,0.0,0.0,1.0,14.0,12.0,15.0,19.0,19.0,0.0,0.0,0.0
Metropolitana,13.0,Curacavi,13503.0,36430.0,2020-04-21,0.0,0.0,0.0,0.0,1.0,2.0,4.0,4.0,3.0,0.0,0.0,0.0,0.0
Metropolitana,13.0,El Bosque,13105.0,172000.0,2020-04-21,0.0,0.0,0.0,0.0,2.0,14.0,21.0,28.0,40.0,22.0,0.0,0.0,0.0
Metropolitana,13.0,El Monte,13602.0,40014.0,2020-04-21,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,4.0,0.0,0.0,0.0,0.0
Metropolitana,13.0,Estacion Central,13106.0,206792.0,2020-04-21,0.0,0.0,0.0,1.0,2.0,11.0,25.0,25.0,31.0,25.0,0.0,0.0,0.0
