Codigo region,Codigo comuna,Poblacion,Casos Confirmados,Fecha,Region ID,Region,Provincia ID,Provincia,Comuna ID,Comuna,Tasa
2,2203.0,10434,-,2020/03/30,2,Antofagasta,22,El Loa,2203,San Pedro de Atacama,-
2,2103.0,1746,-,2020/04/01,2,Antofagasta,21,Antofagasta,2103,Sierra Gorda,-
2,2103.0,1746,-,2020/04/10,2,Antofagasta,21,Antofagasta,2103,Sierra Gorda,-
2,2103.0,1746,-,2020/04/08,2,Antofagasta,21,Antofagasta,2103,Sierra Gorda,-
2,2103.0,1746,-,2020/04/03,2,Antofagasta,21,Antofagasta,2103,Sierra Gorda,-
2,2103.0,1746,-,2020/04/06,2,Antofagasta,21,Antofagasta,2103,Sierra Gorda,-
2,2103.0,1746,-,2020/03/30,2,Antofagasta,21,Antofagasta,2103,Sierra Gorda,-
2,2104.0,13657,-,2020/04/01,2,Antofagasta,21,Antofagasta,2104,Taltal,-
2,2104.0,13657,-,2020/04/10,2,Antofagasta,21,Antofagasta,2104,Taltal,-
2,2104.0,13657,-,2020/04/08,2,Antofagasta,21,Antofagasta,2104,Taltal,-
2,2104.0,13657,-,2020/04/03,2,Antofagasta,21,Antofagasta,2104,Taltal,-
2,2104.0,13657,-,2020/04/06,2,Antofagasta,21,Antofagasta,2104,Taltal,-
2,2104.0,13657,-,2020/03/30,2,Antofagasta,21,Antofagasta,2104,Taltal,-
2,2301.0,28079,-,2020/04/01,2,Antofagasta,23,Tocopilla,2301,Tocopilla,-
2,2301.0,28079,-,2020/04/10,2,Antofagasta,23,Tocopilla,2301,Tocopilla,-
2,2301.0,28079,-,2020/04/08,2,Antofagasta,23,Tocopilla,2301,Tocopilla,-
2,2301.0,28079,-,2020/04/03,2,Antofagasta,23,Tocopilla,2301,Tocopilla,-
2,2301.0,28079,-,2020/04/06,2,Antofagasta,23,Tocopilla,2301,Tocopilla,-
2,2301.0,28079,-,2020/03/30,2,Antofagasta,23,Tocopilla,2301,Tocopilla,-
3,3302.0,5729,-,2020/04/01,3,Atacama,33,Huasco,3302,Alto del Carmen,-
3,3302.0,5729,-,2020/04/10,3,Atacama,33,Huasco,3302,Alto del Carmen,-
3,3302.0,5729,-,2020/04/08,3,Atacama,33,Huasco,3302,Alto del Carmen,-
3,3302.0,5729,-,2020/04/03,3,Atacama,33,Huasco,3302,Alto del Carmen,-
3,3302.0,5729,-,2020/04/06,3,Atacama,33,Huasco,3302,Alto del Carmen,-
3,3302.0,5729,-,2020/03/30,3,Atacama,33,Huasco,3302,Alto del Carmen,-
3,3102.0,19426,-,2020/04/01,3,Atacama,31,Copiapó,3102,Caldera,-
3,3102.0,19426,-,2020/04/10,3,Atacama,31,Copiapó,3102,Caldera,-
3,3102.0,19426,-,2020/04/08,3,Atacama,31,Copiapó,3102,Caldera,-
3,3102.0,19426,-,2020/04/03,3,Atacama,31,Copiapó,3102,Caldera,-
3,3102.0,19426,-,2020/04/06,3,Atacama,31,Copiapó,3102,Caldera,-
3,3102.0,19426,-,2020/03/30,3,Atacama,31,Copiapó,3102,Caldera,-
3,3201.0,13164,-,2020/04/01,3,Atacama,32,Chañaral,3201,Chañaral,-
3,3201.0,13164,-,2020/04/10,3,Atacama,32,Chañaral,3201,Chañaral,-
3,3201.0,13164,-,2020/04/08,3,Atacama,32,Chañaral,3201,Chañaral,-
3,3201.0,13164,-,2020/04/03,3,Atacama,32,Chañaral,3201,Chañaral,-
3,3201.0,13164,-,2020/04/06,3,Atacama,32,Chañaral,3201,Chañaral,-
3,3201.0,13164,-,2020/03/30,3,Atacama,32,Chañaral,3201,Chañaral,-
3,3101.0,171766,-,2020/04/01,3,Atacama,31,Copiapó,3101,Copiapó,-
