Poblacion,Casos Confirmados,Fecha,Region ID,Region,Provincia ID,Provincia,Comuna ID,Comuna,Tasa
14358,-,2020/04/03,3,Atacama,32,Chañaral,3202,Diego de Almagro,-
14358,-,2020/04/06,3,Atacama,32,Chañaral,3202,Diego de Almagro,-
14358,-,2020/03/30,3,Atacama,32,Chañaral,3202,Diego de Almagro,-
7681,-,2020/04/01,3,Atacama,33,Huasco,3303,Freirina,-
7681,-,2020/04/10,3,Atacama,33,Huasco,3303,Freirina,-
7681,-,2020/04/08,3,Atacama,33,Huasco,3303,Freirina,-
7681,-,2020/04/03,3,Atacama,33,Huasco,3303,Freirina,-
7681,-,2020/04/06,3,Atacama,33,Huasco,3303,Freirina,-
7681,-,2020/03/30,3,Atacama,33,Huasco,3303,Freirina,-
11264,-,2020/04/01,3,Atacama,33,Huasco,3304,Huasco,-
11264,-,2020/04/10,3,Atacama,33,Huasco,3304,Huasco,-
11264,-,2020/04/08,3,Atacama,33,Huasco,3304,Huasco,-
11264,-,2020/04/03,3,Atacama,33,Huasco,3304,Huasco,-
11264,-,2020/04/06,3,Atacama,33,Huasco,3304,Huasco,-
11264,-,2020/03/30,3,Atacama,33,Huasco,3304,Huasco,-
14312,-,2020/04/01,3,Atacama,31,Copiapó,3103,Tierra Amarilla,-
14312,4,2020/04/10,3,Atacama,31,Copiapó,3103,Tierra Amarilla,27.94857462269424
14312,-,2020/04/08,3,Atacama,31,Copiapó,3103,Tierra Amarilla,-
14312,-,2020/04/03,3,Atacama,31,Copiapó,3103,Tierra Amarilla,-
14312,-,2020/04/06,3,Atacama,31,Copiapó,3103,Tierra Amarilla,-
14312,-,2020/03/30,3,Atacama,31,Copiapó,3103,Tierra Amarilla,-
57009,-,2020/04/01,3,Atacama,33,Huasco,3301,Vallenar,-
57009,-,2020/04/10,3,Atacama,33,Huasco,3301,Vallenar,-
57009,-,2020/04/08,3,Atacama,33,Huasco,3301,Vallenar,-
57009,-,2020/04/03,3,Atacama,33,Huasco,3301,Vallenar,-
57009,-,2020/04/06,3,Atacama,33,Huasco,3301,Vallenar,-
57009,-,2020/03/30,3,Atacama,33,Huasco,3301,Vallenar,-
11791,-,2020/04/01,4,Coquimbo,41,Elqui,4103,Andacollo,-
11791,-,2020/04/10,4,Coquimbo,41,Elqui,4103,Andacollo,-
11791,-,2020/04/08,4,Coquimbo,41,Elqui,4103,Andacollo,-
