Region,Codigo region,Comuna,Codigo comuna,Poblacion,Fecha,Casos activos
Nuble,16,San Nicolas,16305,12172.0,2020-04-13,5.0
Nuble,16,Treguaco,16207,5696.0,2020-04-13,0.0
Nuble,16,Yungay,16109,18596.0,2020-04-13,25.0
Nuble,16,Total,,511551.0,2020-04-13,183.0
Biobio,08,Alto Biobio,08314,6775.0,2020-04-13,0.0
Biobio,08,Antuco,08302,4306.0,2020-04-13,0.0
Biobio,08,Arauco,08202,38679.0,2020-04-13,2.0
Biobio,08,Cabrero,08303,30725.0,2020-04-13,7.0
Biobio,08,Canete,08203,37003.0,2020-04-13,0.0
Biobio,08,Chiguayante,08103,91180.0,2020-04-13,27.0
Biobio,08,Concepcion,08101,238092.0,2020-04-13,22.0
Biobio,08,Contulmo,08204,6330.0,2020-04-13,0.0
Biobio,08,Coronel,08102,125829.0,2020-04-13,9.0
Biobio,08,Curanilahue,08205,33892.0,2020-04-13,0.0
Biobio,08,Florida,08104,11841.0,2020-04-13,0.0
Biobio,08,Hualpen,08112,97273.0,2020-04-13,67.0
Biobio,08,Hualqui,08105,26201.0,2020-04-13,4.0
Biobio,08,Laja,08304,23873.0,2020-04-13,0.0
Biobio,08,Lebu,08201,27100.0,2020-04-13,0.0
Biobio,08,Los Alamos,08206,22524.0,2020-04-13,0.0
Biobio,08,Los Angeles,08301,218515.0,2020-04-13,4.0
Biobio,08,Lota,08106,45750.0,2020-04-13,0.0
Biobio,08,Mulchen,08305,31041.0,2020-04-13,0.0
Biobio,08,Nacimiento,08306,27944.0,2020-04-13,4.0
Biobio,08,Negrete,08307,10429.0,2020-04-13,2.0
Biobio,08,Penco,08107,49865.0,2020-04-13,5.0
Biobio,08,Quilaco,08308,4179.0,2020-04-13,0.0
Biobio,08,Quilleco,08309,10032.0,2020-04-13,0.0
Biobio,08,San Pedro de la Paz,08108,145906.0,2020-04-13,29.0
Biobio,08,San Rosendo,08310,3611.0,2020-04-13,0.0
Biobio,08,Santa Barbara,08311,14592.0,2020-04-13,0.0
Biobio,08,Santa Juana,08109,14779.0,2020-04-13,0.0
Biobio,08,Talcahuano,08110,158345.0,2020-04-13,17.0
Biobio,08,Tirua,08207,11019.0,2020-04-13,1.0
Biobio,08,Tome,08111,58729.0,2020-04-13,27.0
Biobio,08,Tucapel,08312,15205.0,2020-04-13,1.0
Biobio,08,Yumbel,08313,22132.0,2020-04-13,0.0
Biobio,08,Total,,1663696.0,2020-04-13,233.0
La Araucania,09,Angol,09201,56058.0,2020-04-13,12.0
La Araucania,09,Carahue,09102,25486.0,2020-04-13,14.0
La Araucania,09,Cholchol,09121,12341.0,2020-04-13,0.0
La Araucania,09,Collipulli,09202,26148.0,2020-04-13,1.0
La Araucania,09,Cunco,09103,18055.0,2020-04-13,1.0
La Araucania,09,Curacautin,09203,18178.0,2020-04-13,3.0
La Araucania,09,Curarrehue,09104,7802.0,2020-04-13,0.0
La Araucania,09,Ercilla,09204,8458.0,2020-04-13,3.0
La Araucania,09,Freire,09105,25446.0,2020-04-13,0.0
La Araucania,09,Galvarino,09106,12633.0,2020-04-13,1.0
La Araucania,09,Gorbea,09107,15148.0,2020-04-13,1.0
La Araucania,09,Lautaro,09108,40746.0,2020-04-13,13.0
La Araucania,09,Loncoche,09109,24739.0,2020-04-13,4.0
La Araucania,09,Lonquimay,09205,11049.0,2020-04-13,0.0
La Araucania,09,Los Sauces,09206,7517.0,2020-04-13,0.0
La Araucania,09,Lumaco,09207,10050.0,2020-04-13,0.0
La Araucania,09,Melipeuco,09110,6265.0,2020-04-13,0.0
La Araucania,09,Nueva Imperial,09111,33777.0,2020-04-13,8.0
La Araucania,09,Padre Las Casas,09112,82110.0,2020-04-13,19.0
La Araucania,09,Perquenco,09113,7223.0,2020-04-13,1.0
La Araucania,09,Pitrufquen,09114,26096.0,2020-04-13,4.0
La Araucania,09,Pucon,09115,29782.0,2020-04-13,1.0
La Araucania,09,Puren,09208,12188.0,2020-04-13,0.0
La Araucania,09,Renaico,09209,10833.0,2020-04-13,1.0
La Araucania,09,Saavedra,09116,12793.0,2020-04-13,0.0
La Araucania,09,Temuco,09101,302931.0,2020-04-13,150.0
La Araucania,09,Teodoro Schmidt,09117,15786.0,2020-04-13,1.0
La Araucania,09,Tolten,09118,10055.0,2020-04-13,3.0
La Araucania,09,Traiguen,09210,19314.0,2020-04-13,2.0
La Araucania,09,Victoria,09211,35467.0,2020-04-13,6.0
La Araucania,09,Vilcun,09119,30766.0,2020-04-13,10.0
La Araucania,09,Villarrica,09120,59103.0,2020-04-13,5.0
La Araucania,09,Total,,1014343.0,2020-04-13,301.0
Los Rios,14,Corral,14102,5447.0,2020-04-13,0.0
Los Rios,14,Futrono,14202,15261.0,2020-04-13,1.0
Los Rios,14,La Union,14201,39538.0,2020-04-13,9.0
Los Rios,14,Lago Ranco,14203,10292.0,2020-04-13,0.0
Los Rios,14,Lanco,14103,17652.0,2020-04-13,1.0
Los Rios,14,Los Lagos,14104,20518.0,2020-04-13,0.0
Los Rios,14,Mafil,14105,7389.0,2020-04-13,0.0
Los Rios,14,Mariquina,14106,23250.0,2020-04-13,6.0
Los Rios,14,Paillaco,14107,20798.0,2020-04-13,0.0
Los Rios,14,Panguipulli,14108,35991.0,2020-04-13,1.0
Los Rios,14,Rio Bueno,14204,32925.0,2020-04-13,4.0
Los Rios,14,Valdivia,14101,176774.0,2020-04-13,25.0
Los Rios,14,Total,,405835.0,2020-04-13,47.0
Los Lagos,10,Ancud,10202,42458.0,2020-04-13,3.0
Los Lagos,10,Calbuco,10102,36744.0,2020-04-13,2.0
Los Lagos,10,Castro,10201,47607.0,2020-04-13,5.0
Los Lagos,10,Chaiten,10401,5020.0,2020-04-13,0.0
Los Lagos,10,Chonchi,10203,16013.0,2020-04-13,0.0
Los Lagos,10,Cochamo,10103,4006.0,2020-04-13,0.0
Los Lagos,10,Curaco de Velez,10204,4066.0,2020-04-13,0.0
Los Lagos,10,Dalcahue,10205,15069.0,2020-04-13,0.0
Los Lagos,10,Fresia,10104,12656.0,2020-04-13,0.0
Los Lagos,10,Frutillar,10105,20223.0,2020-04-13,4.0
Los Lagos,10,Futaleufu,10402,2806.0,2020-04-13,0.0
Los Lagos,10,Hualaihue,10403,9525.0,2020-04-13,0.0
Los Lagos,10,Llanquihue,10107,18621.0,2020-04-13,1.0
Los Lagos,10,Los Muermos,10106,17817.0,2020-04-13,0.0
Los Lagos,10,Maullin,10108,14894.0,2020-04-13,1.0
Los Lagos,10,Osorno,10301,173410.0,2020-04-13,63.0
Los Lagos,10,Palena,10404,1827.0,2020-04-13,0.0
Los Lagos,10,Puerto Montt,10101,269398.0,2020-04-13,11.0
Los Lagos,10,Puerto Octay,10302,9192.0,2020-04-13,0.0
Los Lagos,10,Puerto Varas,10109,48620.0,2020-04-13,4.0
Los Lagos,10,Puqueldon,10206,4201.0,2020-04-13,0.0
Los Lagos,10,Purranque,10303,21080.0,2020-04-13,13.0
