,Fecha,Origen,Destino,Viajes
409,2020-03-01,Las Condes,Cerrillos,270
410,2020-03-01,Las Condes,Cerro Navia,258
411,2020-03-01,Las Condes,Conchali,341
412,2020-03-01,Las Condes,El Bosque,163
413,2020-03-01,Las Condes,Estacion Central,3109
414,2020-03-01,Las Condes,Huechuraba,507
415,2020-03-01,Las Condes,Independencia,789
416,2020-03-01,Las Condes,La Cisterna,768
417,2020-03-01,Las Condes,La Florida,1923
418,2020-03-01,Las Condes,La Granja,124
419,2020-03-01,Las Condes,La Pintana,215
420,2020-03-01,Las Condes,La Reina,968
421,2020-03-01,Las Condes,Las Condes,11445
422,2020-03-01,Las Condes,Lo Barnechea,1290
423,2020-03-01,Las Condes,Lo Espejo,122
424,2020-03-01,Las Condes,Lo Prado,1690
425,2020-03-01,Las Condes,Macul,450
426,2020-03-01,Las Condes,Maipu,835
427,2020-03-01,Las Condes,Nunoa,2038
428,2020-03-01,Las Condes,Pedro Aguirre Cerda,459
429,2020-03-01,Las Condes,Penalolen,1115
430,2020-03-01,Las Condes,Providencia,5360
431,2020-03-01,Las Condes,Pudahuel,606
432,2020-03-01,Las Condes,Puente Alto,1709
433,2020-03-01,Las Condes,Quilicura,488
434,2020-03-01,Las Condes,Quinta Normal,512
435,2020-03-01,Las Condes,Recoleta,829
436,2020-03-01,Las Condes,Renca,139
437,2020-03-01,Las Condes,San Bernardo,330
438,2020-03-01,Las Condes,San Joaquin,293
439,2020-03-01,Las Condes,San Miguel,1008
440,2020-03-01,Las Condes,San Ramon,310
441,2020-03-01,Las Condes,Santiago,9058
442,2020-03-01,Las Condes,Vitacura,528
443,2020-03-01,Lo Barnechea,Cerrillos,35
444,2020-03-01,Lo Barnechea,Cerro Navia,59
445,2020-03-01,Lo Barnechea,Conchali,55
446,2020-03-01,Lo Barnechea,El Bosque,26
447,2020-03-01,Lo Barnechea,Estacion Central,411
448,2020-03-01,Lo Barnechea,Huechuraba,73
449,2020-03-01,Lo Barnechea,Independencia,109
450,2020-03-01,Lo Barnechea,La Cisterna,89
451,2020-03-01,Lo Barnechea,La Florida,215
452,2020-03-01,Lo Barnechea,La Granja,20
453,2020-03-01,Lo Barnechea,La Pintana,37
454,2020-03-01,Lo Barnechea,La Reina,56
455,2020-03-01,Lo Barnechea,Las Condes,1334
456,2020-03-01,Lo Barnechea,Lo Barnechea,1115
457,2020-03-01,Lo Barnechea,Lo Espejo,28
458,2020-03-01,Lo Barnechea,Lo Prado,165
459,2020-03-01,Lo Barnechea,Macul,57
460,2020-03-01,Lo Barnechea,Maipu,82
461,2020-03-01,Lo Barnechea,Nunoa,178
462,2020-03-01,Lo Barnechea,Pedro Aguirre Cerda,46
463,2020-03-01,Lo Barnechea,Penalolen,159
464,2020-03-01,Lo Barnechea,Providencia,446
465,2020-03-01,Lo Barnechea,Pudahuel,107
466,2020-03-01,Lo Barnechea,Puente Alto,196
467,2020-03-01,Lo Barnechea,Quilicura,75
468,2020-03-01,Lo Barnechea,Quinta Normal,105
469,2020-03-01,Lo Barnechea,Recoleta,124
470,2020-03-01,Lo Barnechea,Renca,18
471,2020-03-01,Lo Barnechea,San Bernardo,44
472,2020-03-01,Lo Barnechea,San Joaquin,46
473,2020-03-01,Lo Barnechea,San Miguel,96
474,2020-03-01,Lo Barnechea,San Ramon,63
475,2020-03-01,Lo Barnechea,Santiago,1277
476,2020-03-01,Lo Barnechea,Vitacura,376
477,2020-03-01,Lo Espejo,Cerrillos,412
478,2020-03-01,Lo Espejo,Cerro Navia,36
479,2020-03-01,Lo Espejo,Conchali,41
480,2020-03-01,Lo Espejo,El Bosque,190
481,2020-03-01,Lo Espejo,Estacion Central,1071
482,2020-03-01,Lo Espejo,Huechuraba,16
483,2020-03-01,Lo Espejo,Independencia,49
484,2020-03-01,Lo Espejo,La Cisterna,1047
485,2020-03-01,Lo Espejo,La Florida,273
486,2020-03-01,Lo Espejo,La Granja,39
487,2020-03-01,Lo Espejo,La Pintana,77
488,2020-03-01,Lo Espejo,La Reina,78
489,2020-03-01,Lo Espejo,Las Condes,208
490,2020-03-01,Lo Espejo,Lo Barnechea,19
491,2020-03-01,Lo Espejo,Lo Espejo,1266
492,2020-03-01,Lo Espejo,Lo Prado,51
493,2020-03-01,Lo Espejo,Macul,33
494,2020-03-01,Lo Espejo,Maipu,354
495,2020-03-01,Lo Espejo,Nunoa,137
496,2020-03-01,Lo Espejo,Pedro Aguirre Cerda,746
497,2020-03-01,Lo Espejo,Penalolen,50
498,2020-03-01,Lo Espejo,Providencia,261
499,2020-03-01,Lo Espejo,Pudahuel,59
500,2020-03-01,Lo Espejo,Puente Alto,101
501,2020-03-01,Lo Espejo,Quilicura,46
502,2020-03-01,Lo Espejo,Quinta Normal,60
503,2020-03-01,Lo Espejo,Recoleta,186
504,2020-03-01,Lo Espejo,Renca,32
505,2020-03-01,Lo Espejo,San Bernardo,542
506,2020-03-01,Lo Espejo,San Joaquin,59
507,2020-03-01,Lo Espejo,San Miguel,336
508,2020-03-01,Lo Espejo,San Ramon,91
509,2020-03-01,Lo Espejo,Santiago,1334
510,2020-03-01,Lo Espejo,Vitacura,32
511,2020-03-01,Lo Prado,Cerrillos,174
512,2020-03-01,Lo Prado,Cerro Navia,856
513,2020-03-01,Lo Prado,Conchali,265
514,2020-03-01,Lo Prado,El Bosque,90
515,2020-03-01,Lo Prado,Estacion Central,4966
516,2020-03-01,Lo Prado,Huechuraba,50
517,2020-03-01,Lo Prado,Independencia,397
518,2020-03-01,Lo Prado,La Cisterna,511
519,2020-03-01,Lo Prado,La Florida,881
