Region,Codigo region,Comuna,Codigo comuna,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12
Biobío,8,Nacimiento,8306,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,1,1,1
Biobío,8,Negrete,8307,3,3,4,3,2,3,3,4,3,3,3,2,3,3,3,3,4,3,2,3,3,3,3,3,2,1,2,2,2,2,2,2,1,2,3,2,2,3,2,2,3,3,3,2,1,1,1
Biobío,8,Penco,8107,5,5,6,6,4,5,5,5,5,5,5,4,5,5,5,5,6,5,5,5,4,4,4,4,3,2,3,3,3,3,3,3,3,4,4,4,4,4,3,3,4,4,3,4,3,3,2
Biobío,8,Quilaco,8308,1,1,1,2,2,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Biobío,8,Quilleco,8309,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,4,3,3,3,4,4,3,4,3,3,3,3,3,3,2,2,3
Biobío,8,San Pedro de la Paz,8108,4,4,4,3,3,4,4,4,4,4,3,3,4,4,4,4,4,3,2,3,3,3,2,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1
Biobío,8,San Rosendo,8310,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,2,3,3,3,3,3,3,2,3,3,3,3,2,2,2
Biobío,8,Santa Bárbara,8311,9,9,8,6,7,8,12,9,10,10,8,6,8,9,8,8,8,7,6,9,9,8,9,9,7,6,7,6,7,8,7,7,6,8,8,8,8,9,8,7,7,8,8,7,5,6,6
Biobío,8,Santa Juana,8109,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,0,1,1
Biobío,8,Talcahuano,8110,4,4,4,4,3,4,4,4,4,5,4,4,4,4,4,4,5,4,3,4,3,3,3,3,2,2,3,2,2,2,2,2,2,3,3,3,3,3,2,2,3,3,2,2,2,2,2
Biobío,8,Tirúa,8207,2,2,2,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Biobío,8,Tomé,8111,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,1,1,2,2,2,2,2,2,1,2,2,2,2,1,1,1
Biobío,8,Tucapel,8312,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1
Biobío,8,Yumbel,8313,3,3,3,3,3,2,2,2,2,3,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,1,2,1,1,2,2,1,1,2,2,2,2,2,2,1,2,2,2,1,1,1,1
Coquimbo,4,Andacollo,4103,6,5,5,5,5,5,5,5,6,5,5,4,5,5,5,5,6,5,4,5,5,5,5,5,4,3,4,4,4,4,4,3,3,4,4,4,4,4,4,3,4,4,4,4,3,3,3
Coquimbo,4,Canela,4202,8,9,8,8,7,7,6,6,6,7,5,5,5,5,5,5,7,5,5,6,5,5,4,4,3,2,3,3,3,3,3,2,1,2,3,3,2,3,2,2,2,3,3,2,1,1,1
Coquimbo,4,Combarbalá,4302,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0
Coquimbo,4,Coquimbo,4102,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Coquimbo,4,Illapel,4201,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coquimbo,4,La Higuera,4104,4,3,4,3,3,3,3,3,3,3,3,3,2,3,3,2,3,3,3,2,3,3,2,2,2,1,2,2,2,2,2,1,1,1,2,2,2,2,1,1,1,2,2,2,1,1,1
Coquimbo,4,La Serena,4101,2,2,2,2,1,2,2,2,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0
Coquimbo,4,Los Vilos,4203,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coquimbo,4,Monte Patria,4303,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coquimbo,4,Ovalle,4301,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coquimbo,4,Paiguano,4105,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,0,0,0
Coquimbo,4,Punitaqui,4304,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,2,3,3,3,3,3,2,2,2,2,3,2,2,2,2,2,3,2,2,3,2,2,2,2,2,2,2,2,1
Coquimbo,4,Río Hurtado,4305,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coquimbo,4,Salamanca,4204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
