Region,Codigo region,Comuna,Codigo comuna,Poblacion,2020-03-30,2020-04-01,2020-04-03,2020-04-06,2020-04-08,2020-04-10,2020-04-13,Tasa
Biobío,8.0,Concepcion,8101.0,238092.0,28,47,53,70,73,81,92,38.6
Biobío,8.0,Contulmo,8204.0,6330.0,-,-,-,-,-,-,-,0.0
Biobío,8.0,Coronel,8102.0,125829.0,-,11,12,13,18,18,18,14.3
Biobío,8.0,Curanilahue,8205.0,33892.0,-,-,-,-,-,-,1,3.0
Biobío,8.0,Florida,8104.0,11841.0,-,-,-,-,-,-,2,16.9
Biobío,8.0,Hualpen,8112.0,97273.0,-,39,50,67,74,83,93,95.6
Biobío,8.0,Hualqui,8105.0,26201.0,-,-,-,7,7,7,8,30.5
Biobío,8.0,Laja,8304.0,23873.0,-,-,-,5,5,5,6,25.1
Biobío,8.0,Lebu,8201.0,27100.0,-,-,-,-,-,-,-,0.0
Biobío,8.0,Los Alamos,8206.0,22524.0,-,-,-,-,-,-,-,0.0
Biobío,8.0,Los Angeles,8301.0,218515.0,11,15,12,17,22,22,22,10.1
Biobío,8.0,Lota,8106.0,45750.0,-,-,-,-,-,-,1,2.2
Biobío,8.0,Mulchen,8305.0,31041.0,-,5,5,5,5,5,5,16.1
Biobío,8.0,Nacimiento,8306.0,27944.0,-,-,-,-,4,5,9,32.2
Biobío,8.0,Negrete,8307.0,10429.0,-,-,-,-,-,-,2,19.2
Biobío,8.0,Penco,8107.0,49865.0,-,-,-,5,5,5,9,18.0
Biobío,8.0,Quilaco,8308.0,4179.0,-,-,-,-,-,-,-,0.0
Biobío,8.0,Quilleco,8309.0,10032.0,-,-,-,-,-,-,-,0.0
Biobío,8.0,San Pedro de la Paz,8108.0,145906.0,18,50,56,63,71,73,80,54.8
Biobío,8.0,San Rosendo,8310.0,3611.0,-,-,-,-,-,-,-,0.0
Biobío,8.0,Santa Barbara,8311.0,14592.0,-,-,-,-,-,-,2,13.7
Biobío,8.0,Santa Juana,8109.0,14779.0,-,-,-,-,-,-,-,0.0
Biobío,8.0,Talcahuano,8110.0,158345.0,-,23,29,36,45,46,56,35.4
Biobío,8.0,Tirua,8207.0,11019.0,-,-,-,4,4,4,4,36.3
Biobío,8.0,Tome,8111.0,58729.0,4,6,9,25,30,30,37,63.0
Biobío,8.0,Tucapel,8312.0,15205.0,,-,-,-,-,-,1,6.6
Biobío,8.0,Yumbel,8313.0,22132.0,5,5,5,5,5,5,5,22.6
Araucanía,9.0,Angol,9201.0,56058.0,7,13,12,15,23,24,28,49.9
Araucanía,9.0,Carahue,9102.0,25486.0,-,-,-,-,6,6,18,70.6
Araucanía,9.0,Cholchol,9121.0,12341.0,-,-,-,-,-,4,4,32.4
Araucanía,9.0,Collipulli,9202.0,26148.0,-,-,-,-,-,-,1,3.8
Araucanía,9.0,Cunco,9103.0,18055.0,-,-,-,5,5,5,5,27.7
Araucanía,9.0,Curacautin,9203.0,18178.0,-,-,-,-,-,5,5,27.5
Araucanía,9.0,Curarrehue,9104.0,7802.0,-,-,-,-,4,4,4,51.3
Araucanía,9.0,Ercilla,9204.0,8458.0,-,-,-,-,-,-,3,35.5
Araucanía,9.0,Freire,9105.0,25446.0,-,-,5,5,5,5,5,19.6
Araucanía,9.0,Galvarino,9106.0,12633.0,-,-,-,-,-,-,2,15.8
Araucanía,9.0,Gorbea,9107.0,15148.0,4,6,7,10,10,10,10,66.0
Araucanía,9.0,Lautaro,9108.0,40746.0,-,8,10,16,19,19,22,54.0
Araucanía,9.0,Loncoche,9109.0,24739.0,-,-,4,4,6,6,6,24.3
Araucanía,9.0,Lonquimay,9205.0,11049.0,-,-,-,-,-,-,-,0.0
